Event Type,Attendees,Expenses,Success
Cultural,321,76909,1
Sports,321,45891,1
Sports,273,26484,1
Cultural,138,19308,1
Cultural,842,21820,0
Cultural,153,7363,0
Sports,1074,152224,1
Cultural,405,17859,0
Sports,305,59267,1
Cultural,550,127868,1
Sports,800,2463,0
Seminars,1373,133224,1
Sports,1223,32972,0
Seminars,1198,53773,0
Cultural,1030,54177,1
Cultural,568,110670,1
Cultural,1119,32075,0
Seminars,777,36340,0
Sports,1359,124476,1
Sports,804,62612,1
Cultural,229,23135,1
Cultural,985,243248,1
Seminars,327,12567,0
Seminars,1291,206726,1
Cultural,824,23704,0
Seminars,784,40698,1
Seminars,858,80376,1
Cultural,686,57481,1
Seminars,228,27696,1
Seminars,1275,34772,0
Seminars,189,12320,1
Cultural,1233,98076,1
Seminars,425,4222,0
Sports,1088,13473,0
Seminars,1423,61732,0
Cultural,889,13112,0
Sports,569,44059,1
Seminars,416,85863,1
Sports,429,61856,1
Cultural,1378,171616,1
Seminars,285,62109,1
Seminars,162,14646,1
Cultural,204,18948,1
Seminars,1030,153121,1
Seminars,415,50513,1
Sports,632,46713,1
Cultural,232,22038,1
Seminars,1326,95640,1
Seminars,618,42061,1
Sports,1071,42969,0
Seminars,1102,221823,1
Seminars,1484,4721,0
Cultural,1015,209812,1
Sports,1343,117777,1
Sports,1084,146694,1
Sports,744,112845,1
Sports,1154,239878,1
Seminars,517,78094,1
Cultural,1053,208749,1
Sports,1045,126773,1
Cultural,157,11639,1
Cultural,392,68903,1
Seminars,630,13944,0
Seminars,1400,103127,1
Cultural,521,30464,1
Sports,265,61710,1
Seminars,1321,121464,1
Sports,412,33356,1
Cultural,479,68349,1
Cultural,866,137849,1
Cultural,978,155051,1
Cultural,378,49119,1
Sports,1309,62469,0
Cultural,621,48838,1
Seminars,1438,134517,1
Sports,480,5931,0
Seminars,263,33813,1
Cultural,1042,56662,1
Cultural,755,55697,1
Seminars,1019,51198,1
Seminars,1031,119678,1
Cultural,1224,140087,1
Sports,469,9288,0
Sports,1058,186936,1
Sports,775,30970,0
Sports,561,14033,0
Cultural,1379,50045,0
Seminars,150,11211,1
Seminars,1484,74498,1
Cultural,953,31772,0
Cultural,1370,224877,1
Seminars,1099,41945,0
Sports,1284,79296,1
Seminars,682,49282,1
Sports,425,86948,1
Seminars,217,9190,0
Cultural,758,47882,1
Sports,1174,78721,1
Cultural,1251,203337,1
Seminars,480,113075,1
Cultural,842,82960,1
Seminars,826,169565,1
Cultural,1396,232615,1
Seminars,438,20279,0
Sports,1080,132429,1
Seminars,466,26720,1
Seminars,906,148788,1
Seminars,107,11466,1
Seminars,708,153832,1
Sports,248,48783,1
Cultural,242,41838,1
Cultural,277,37304,1
Sports,1468,116805,1
Seminars,348,59751,1
Cultural,561,14644,0
Sports,484,91031,1
Cultural,626,34693,1
Cultural,1075,142205,1
Sports,1440,240281,1
Sports,142,31902,1
Cultural,1044,73381,1
Seminars,225,9957,0
Sports,1053,42989,0
Cultural,1040,128448,1
Sports,544,89965,1
Seminars,905,72390,1
Seminars,1246,13637,0
Seminars,424,33929,1
Sports,545,103343,1
Cultural,1354,7501,0
Sports,720,25706,0
Seminars,1490,230659,1
Cultural,1391,31980,0
Seminars,1441,197444,1
Sports,1133,207298,1
Sports,534,121755,1
Cultural,309,76059,1
Cultural,518,82652,1
Cultural,1456,232253,1
Cultural,1050,22547,0
Seminars,829,199358,1
Sports,255,44376,1
Seminars,989,43543,0
Cultural,833,161064,1
Cultural,1201,102939,1
Cultural,121,26593,1
Cultural,504,66762,1
Seminars,1463,53084,0
Seminars,1091,220733,1
Seminars,858,167744,1
Cultural,638,101633,1
Sports,1155,133291,1
Sports,1314,6979,0
Sports,589,39552,1
Sports,1180,7563,0
Cultural,1140,110814,1
Seminars,146,31827,1
Cultural,446,54420,1
Sports,152,21559,1
Sports,564,31318,1
Seminars,806,90766,1
Sports,611,102934,1
Cultural,510,18396,0
Cultural,1007,204376,1
Sports,1491,218948,1
Sports,856,147705,1
Seminars,162,14930,1
Seminars,841,114003,1
Sports,251,59320,1
Seminars,167,17783,1
Cultural,585,29599,1
Sports,356,19520,1
Cultural,212,45110,1
Sports,842,176684,1
Cultural,706,83697,1
Sports,171,27742,1
Seminars,1168,122435,1
Seminars,122,21553,1
Cultural,532,17879,0
Seminars,1152,137489,1
Sports,1198,239869,1
Seminars,116,5109,0
Sports,1212,18901,0
Cultural,1147,215077,1
Seminars,575,51477,1
Seminars,1107,145571,1
Seminars,193,4800,0
Seminars,882,118716,1
Sports,914,179381,1
Sports,597,76800,1
Cultural,1354,225878,1
Sports,1237,227943,1
Sports,1104,106817,1
Cultural,561,68170,1
Seminars,756,141680,1
Sports,622,56519,1
Sports,204,38736,1
Seminars,1455,208234,1
Cultural,431,23206,1
Cultural,364,68634,1
Cultural,1488,150029,1
Sports,1245,53727,0
Sports,635,141981,1
Sports,1318,139767,1
Cultural,475,77570,1
Seminars,716,59085,1
Sports,438,19002,0
Seminars,1346,218755,1
Seminars,615,95951,1
Seminars,1447,30713,0
Sports,1425,56497,0
Cultural,263,47106,1
Sports,1165,57868,0
Sports,1494,109709,1
Cultural,1415,239747,1
Seminars,541,73037,1
Seminars,100,15110,1
Seminars,997,84031,1
Seminars,797,117800,1
Cultural,1185,139239,1
Cultural,327,61236,1
Sports,678,164685,1
Seminars,1439,111517,1
Cultural,780,105910,1
Seminars,1201,89921,1
Cultural,1149,136798,1
Sports,581,140581,1
Sports,1219,100278,1
Sports,133,5768,0
Sports,1199,3456,0
Seminars,602,44224,1
Seminars,679,15821,0
Cultural,1448,78290,1
Sports,1295,17810,0
Sports,287,53044,1
Cultural,385,73466,1
Sports,373,35608,1
Cultural,1205,158542,1
Cultural,1349,21932,0
Cultural,773,11936,0
Cultural,1332,80100,1
Seminars,1395,84717,1
Sports,330,52489,1
Cultural,1221,64070,1
Seminars,1043,54449,1
Sports,386,32077,1
Cultural,1157,4355,0
Cultural,1415,70576,0
Sports,570,3862,0
Seminars,201,14345,1
Cultural,277,48786,1
Cultural,403,7972,0
Sports,1019,48480,0
Seminars,701,100502,1
Cultural,475,114230,1
Seminars,127,6859,1
Cultural,1138,78313,1
Sports,1311,25912,0
Sports,495,97947,1
Sports,639,105071,1
Sports,737,29275,0
Cultural,1234,233631,1
Cultural,1337,76359,1
Sports,867,79680,1
Cultural,195,11061,1
Seminars,858,38296,0
Sports,1110,128549,1
Seminars,121,10035,1
Cultural,217,43102,1
Cultural,1287,178317,1
Cultural,170,15097,1
Seminars,861,116049,1
Seminars,157,20818,1
Sports,537,82645,1
Cultural,1393,180041,1
Sports,1265,56736,0
Seminars,241,3777,0
Cultural,1198,81350,1
Seminars,1213,21877,0
Sports,185,22918,1
Sports,992,224471,1
Cultural,530,47155,1
Sports,1019,79670,1
Sports,674,60000,1
Cultural,1053,39026,0
Sports,951,74669,1
Cultural,466,31156,1
Sports,111,17057,1
Cultural,1157,166848,1
Sports,1079,148472,1
Cultural,294,56716,1
Cultural,414,99260,1
Cultural,1072,207634,1
Sports,244,57381,1
Sports,218,17964,1
Cultural,641,31101,0
Seminars,1452,100479,1
Seminars,443,5499,0
Seminars,645,32273,1
Seminars,1082,140613,1
Cultural,1103,157418,1
Cultural,940,20303,0
Seminars,545,58539,1
Cultural,1277,51675,0
Seminars,1188,36539,0
Seminars,1479,129461,1
Sports,391,54474,1
Seminars,869,63469,1
Sports,221,28831,1
Seminars,1411,117192,1
Sports,1063,60788,1
Sports,1482,66267,0
Cultural,254,39896,1
Cultural,736,155166,1
Cultural,1110,134650,1
Seminars,286,22715,1
Sports,622,90220,1
Cultural,1062,75394,1
Cultural,1328,43439,0
Sports,865,128692,1
Cultural,296,46680,1
Seminars,800,46431,1
Seminars,190,7274,0
Cultural,1465,209968,1
Cultural,817,15551,0
Sports,563,96818,1
Cultural,1482,169996,1
Cultural,1100,200166,1
Seminars,1192,233532,1
Sports,1448,240649,1
Sports,1008,104648,1
Sports,1151,50158,0
Seminars,799,34980,0
Cultural,169,20626,1
Sports,959,14440,0
Cultural,1259,150878,1
Cultural,217,20751,1
Seminars,1085,69809,1
Seminars,1159,28880,0
Cultural,1218,69203,1
Seminars,146,13825,1
Cultural,256,5441,0
Sports,657,93435,1
Cultural,1305,9017,0
Sports,1298,83544,1
Seminars,177,39614,1
Sports,1062,196859,1
Sports,930,22742,0
Cultural,1061,85917,1
Seminars,1246,229939,1
Seminars,568,96200,1
Sports,253,21547,1
Cultural,832,119804,1
Sports,1405,102498,1
Cultural,591,2128,0
Seminars,929,116932,1
Sports,943,115829,1
Sports,557,79853,1
Sports,1421,33384,0
Sports,1382,12401,0
Sports,460,46884,1
Sports,1221,238973,1
Sports,499,88016,1
Seminars,459,101746,1
Cultural,518,10801,0
Sports,332,19112,1
Sports,1365,88497,1
Sports,1134,121322,1
Seminars,1185,143689,1
Sports,237,24970,1
Sports,617,146469,1
Seminars,808,31713,0
Cultural,652,38885,1
Seminars,551,113825,1
Seminars,1144,81717,1
Seminars,864,22469,0
Seminars,1329,127700,1
Seminars,375,91406,1
Cultural,931,132358,1
Sports,635,46162,1
Sports,1142,237858,1
Cultural,625,16764,0
Seminars,503,95414,1
Seminars,974,220910,1
Sports,203,26998,1
Sports,831,14914,0
Cultural,1264,56035,0
Cultural,1125,115607,1
Seminars,402,86891,1
Sports,1182,123154,1
Seminars,687,58904,1
Cultural,525,39919,1
Sports,612,99674,1
Cultural,363,46089,1
Seminars,348,85399,1
Cultural,624,109806,1
Sports,256,14275,1
Cultural,876,142472,1
Cultural,314,7896,0
Seminars,571,41432,1
Cultural,808,128762,1
Cultural,437,69885,1
Cultural,1152,204726,1
Sports,975,130058,1
Cultural,1473,71656,0
Sports,887,197149,1
Sports,1021,210963,1
Seminars,1138,52371,0
Seminars,1182,138864,1
Cultural,1234,221229,1
Sports,578,110401,1
Cultural,877,164808,1
Sports,591,58692,1
Sports,533,21594,0
Cultural,218,35594,1
Seminars,859,135724,1
Seminars,614,40817,1
Seminars,309,65379,1
Seminars,289,35602,1
Cultural,175,33829,1
Sports,870,86523,1
Cultural,768,36780,0
Cultural,276,36442,1
Cultural,1353,132754,1
Sports,1149,55524,0
Cultural,591,123607,1
Cultural,909,5002,0
Cultural,1236,105509,1
Cultural,1088,58575,1
Seminars,306,24898,1
Sports,658,81572,1
Cultural,946,77378,1
Sports,792,108094,1
Cultural,1069,185811,1
Cultural,375,59357,1
Cultural,851,119919,1
Seminars,866,45317,1
Cultural,1118,24987,0
Seminars,1265,89779,1
Cultural,289,57099,1
Sports,626,115263,1
Sports,1025,161141,1
Sports,938,19171,0
Seminars,729,82163,1
Cultural,225,24855,1
Sports,1093,78536,1
Seminars,187,26042,1
Seminars,632,2918,0
Sports,1430,242104,1
Cultural,926,63260,1
Seminars,690,49146,1
Sports,317,12347,0
Seminars,621,28393,0
Cultural,1008,146926,1
Cultural,460,26028,1
Seminars,1428,203504,1
Cultural,1090,33635,0
Sports,534,64194,1
Seminars,1348,238615,1
Sports,784,30184,0
Cultural,1075,128878,1
Seminars,152,4601,0
Cultural,1073,84567,1
Cultural,523,116892,1
Seminars,992,87029,1
Seminars,1308,62353,0
Seminars,373,34984,1
Cultural,801,147366,1
Seminars,946,120873,1
Seminars,1160,219235,1
Sports,164,39637,1
Seminars,1371,77841,1
Sports,1104,179031,1
Seminars,136,19843,1
Sports,369,25733,1
Sports,1424,86210,1
Sports,128,22614,1
Cultural,409,22987,1
Cultural,1032,116173,1
Seminars,828,43647,1
Sports,763,108436,1
Seminars,859,113980,1
Sports,242,49228,1
Sports,1094,34001,0
Sports,609,88054,1
Sports,720,33001,0
Cultural,1183,237882,1
Sports,221,12657,1
Seminars,382,38681,1
Cultural,581,99264,1
Seminars,1362,130897,1
Seminars,762,180926,1
Cultural,212,27787,1
Seminars,777,146676,1
Seminars,728,141616,1
Seminars,944,149129,1
Sports,1180,12518,0
Cultural,632,33333,1
Cultural,998,225499,1
Sports,702,24362,0
Seminars,955,172907,1
Sports,1173,59306,1
Cultural,1082,148221,1
Sports,357,31621,1
Sports,766,190385,1
Seminars,820,87850,1
Seminars,898,167478,1
Sports,562,95197,1
Sports,322,75186,1
Seminars,1468,46276,0
Sports,680,71227,1
Seminars,387,63636,1
Sports,933,187466,1
Sports,1192,118955,1
Seminars,209,45993,1
Cultural,952,168861,1
Seminars,1152,10211,0
Cultural,185,19604,1
Seminars,1120,157988,1
Sports,793,39261,0
Cultural,620,121510,1
Sports,620,56805,1
Seminars,198,3508,0
Sports,717,174048,1
Seminars,703,18345,0
Sports,1379,33735,0
Seminars,989,212230,1
Sports,1283,165517,1
Seminars,1490,161066,1
Cultural,701,80097,1
Sports,520,13236,0
Seminars,554,100635,1
Seminars,1418,116897,1
Sports,173,24835,1
Cultural,710,45563,1
Sports,1380,108626,1
Cultural,495,61485,1
Sports,105,11677,1
Seminars,250,21378,1
Cultural,1322,139661,1
Cultural,1124,167961,1
Sports,925,118109,1
Seminars,757,71922,1
Sports,844,84282,1
Cultural,284,17144,1
Cultural,1124,74150,1
Cultural,1320,138140,1
Cultural,318,76144,1
Sports,1321,63513,0
Sports,1062,2334,0
Cultural,533,133022,1
Cultural,956,20833,0
Cultural,454,37868,1
Cultural,1019,71238,1
Cultural,105,2583,0
Seminars,1092,167686,1
Seminars,291,56968,1
Sports,1296,244484,1
Seminars,944,177696,1
Sports,629,112912,1
Seminars,828,58441,1
Sports,1208,78724,1
Sports,907,66941,1
Cultural,1093,10803,0
Sports,1219,112702,1
Sports,1402,164576,1
Cultural,161,17512,1
Seminars,1409,161979,1
Sports,897,47275,1
Seminars,1053,200519,1
Seminars,572,103128,1
Cultural,173,20737,1
Sports,967,81217,1
Seminars,1215,165139,1
Seminars,444,108707,1
Sports,758,177624,1
Seminars,733,99223,1
Seminars,202,2999,0
Sports,177,38730,1
Seminars,285,13691,0
Sports,513,108388,1
Seminars,243,57359,1
Seminars,396,82869,1
Cultural,833,183787,1
Cultural,1251,10345,0
Seminars,1012,80658,1
Sports,119,16014,1
Sports,1342,241032,1
Sports,909,220418,1
Cultural,1156,101342,1
Cultural,214,18755,1
Cultural,839,50476,1
Seminars,267,49087,1
Seminars,106,6952,1
Seminars,1471,45564,0
Seminars,727,180414,1
Seminars,814,94466,1
Sports,327,15915,0
Sports,1205,222463,1
Seminars,391,51560,1
Cultural,1038,45990,0
Seminars,1113,120440,1
Seminars,801,28860,0
Sports,812,77933,1
Cultural,1442,55285,0
Seminars,1191,92073,1
Seminars,729,133450,1
Sports,141,18132,1
Seminars,267,8908,0
Cultural,1361,133110,1
Sports,766,61743,1
Seminars,1468,89545,1
Sports,1126,120046,1
Seminars,618,95502,1
Seminars,760,135310,1
Cultural,533,124466,1
Seminars,1342,188200,1
Seminars,770,192105,1
Seminars,407,74246,1
Seminars,420,31042,1
Cultural,628,57747,1
Sports,1246,125446,1
Cultural,331,33467,1
Sports,682,120142,1
Sports,1099,155669,1
Sports,244,44712,1
Sports,1372,99605,1
Seminars,122,22577,1
Cultural,1175,12767,0
Seminars,873,81886,1
Sports,1490,111110,1
Seminars,649,14528,0
Seminars,796,134735,1
Sports,142,22390,1
Cultural,653,112495,1
Seminars,1398,60368,0
Cultural,101,6262,1
Sports,1249,246924,1
Seminars,931,144884,1
Sports,471,48105,1
Sports,451,57686,1
Cultural,1349,35122,0
Seminars,166,24616,1
Sports,1226,207543,1
Seminars,595,47343,1
Seminars,624,24561,0
Sports,133,27881,1
Seminars,132,26998,1
Seminars,519,69245,1
Sports,329,26894,1
Seminars,351,27935,1
Sports,1437,98596,1
Sports,563,50127,1
Seminars,570,67348,1
Cultural,568,8430,0
Cultural,1475,83985,1
Seminars,369,48471,1
Cultural,769,77911,1
Sports,1089,121442,1
Sports,1360,196303,1
Sports,531,64729,1
Seminars,349,52794,1
Cultural,768,129945,1
Seminars,828,84595,1
Seminars,203,8253,0
Seminars,1248,76049,1
Cultural,1306,197291,1
Cultural,316,22781,1
Cultural,1090,49984,0
Sports,325,13120,0
Seminars,378,67182,1
Seminars,871,64160,1
Sports,1125,60077,1
Seminars,983,62490,1
Cultural,767,115862,1
Seminars,437,90357,1
Seminars,1094,222247,1
Sports,707,120694,1
Sports,353,40290,1
Cultural,650,102596,1
Cultural,462,27451,1
Sports,802,34037,0
Cultural,953,82101,1
Seminars,1409,224871,1
Sports,1187,119240,1
Seminars,1030,210916,1
Cultural,995,61464,1
Cultural,251,2129,0
Sports,1124,123322,1
Seminars,680,62539,1
Seminars,1163,121450,1
Seminars,1043,161597,1
Cultural,514,112722,1
Seminars,819,141866,1
Cultural,1039,177075,1
Cultural,675,124227,1
Seminars,1180,93897,1
Cultural,669,12888,0
Cultural,1317,99353,1
Sports,136,32980,1
Cultural,939,42014,0
Cultural,1387,232240,1
Seminars,668,62367,1
Cultural,951,22221,0
Sports,905,103081,1
Sports,892,62999,1
Sports,862,170256,1
Seminars,830,65018,1
Seminars,1222,135955,1
Seminars,1276,32557,0
Seminars,404,91066,1
Seminars,668,58094,1
Cultural,690,44116,1
Seminars,746,74395,1
Sports,1365,171248,1
Cultural,324,10935,0
Sports,1235,96808,1
Cultural,1026,212065,1
Cultural,241,34460,1
Seminars,1092,168009,1
Cultural,402,94670,1
Seminars,704,172648,1
Cultural,1008,169681,1
Sports,108,26414,1
Sports,331,31748,1
Seminars,1483,222846,1
Cultural,977,158881,1
Cultural,1095,146658,1
Cultural,1459,233542,1
Cultural,740,19099,0
Seminars,414,58423,1
Seminars,162,35056,1
Sports,1193,199289,1
Sports,911,155572,1
Seminars,560,112701,1
Sports,1305,160544,1
Cultural,1441,53896,0
Seminars,617,53280,1
Sports,1399,55645,0
Seminars,1488,89606,1
Sports,1181,84147,1
Seminars,1089,218969,1
Seminars,338,60505,1
Sports,269,61949,1
Cultural,1078,6365,0
Cultural,447,99368,1
Cultural,1483,52977,0
Cultural,851,28321,0
Seminars,1360,249439,1
Cultural,810,84663,1
Seminars,704,16078,0
Seminars,1300,202368,1
Cultural,187,21326,1
Cultural,828,91385,1
Sports,711,17976,0
Sports,1021,58332,1
Seminars,1164,61085,1
Sports,1071,207268,1
Sports,1379,63800,0
Seminars,1347,193380,1
Cultural,871,96610,1
Sports,1288,123883,1
Sports,1085,20386,0
Seminars,190,8544,0
Sports,311,22489,1
Seminars,315,52385,1
Seminars,424,81400,1
Cultural,962,208418,1
Seminars,351,10956,0
Sports,145,20453,1
Cultural,1413,248221,1
Sports,1148,146475,1
Sports,837,130932,1
Sports,409,54766,1
Seminars,1164,206122,1
Seminars,1375,216642,1
Seminars,422,7575,0
Sports,1391,144269,1
Cultural,350,57648,1
Cultural,1144,246784,1
Cultural,202,37906,1
Sports,1068,13664,0
Seminars,959,110259,1
Seminars,1000,241758,1
Sports,751,34434,0
Sports,1114,229297,1
Cultural,352,66394,1
Cultural,310,33154,1
Sports,405,22367,1
Seminars,1165,140130,1
Cultural,379,50019,1
Cultural,200,46629,1
Seminars,1473,225888,1
Cultural,362,29539,1
Sports,1118,119492,1
Cultural,1383,249286,1
Cultural,886,36736,0
Sports,1349,236258,1
Seminars,167,35944,1
Sports,900,42335,0
Sports,933,144439,1
Cultural,256,36570,1
Sports,1164,125105,1
Sports,1184,142126,1
Seminars,272,5916,0
Sports,1012,79459,1
Seminars,306,48494,1
Sports,232,31256,1
Cultural,1092,47890,0
Seminars,689,19923,0
Seminars,1257,70771,1
Sports,1151,133049,1
Sports,1382,6967,1
Cultural,616,128555,1
Sports,1167,226270,1
Seminars,1178,221806,1
Seminars,230,38079,1
Seminars,139,2634,1
Seminars,1066,175259,1
Seminars,159,14339,1
Cultural,1052,13831,1
Seminars,1358,56080,1
Cultural,1245,167988,1
Cultural,880,29637,1
Sports,541,85164,1
Sports,398,91896,1
Cultural,873,187086,1
Seminars,195,42822,1
Sports,762,32406,1
Sports,701,59299,1
Seminars,593,87874,1
Sports,361,64318,1
Seminars,1400,72910,1
Cultural,1344,110313,1
Seminars,862,197404,1
Cultural,1300,115923,1
Seminars,1262,50853,1
Sports,584,109432,1
Cultural,444,70816,1
Cultural,434,4505,1
Cultural,172,10925,1
Seminars,846,130735,1
Seminars,475,46892,1
Seminars,225,52588,1
Cultural,343,18658,1
Cultural,919,184000,1
Seminars,647,72292,1
Sports,1500,155186,1
Sports,989,107510,1
Seminars,1112,137896,1
Sports,832,78532,1
Seminars,736,3157,1
Cultural,427,47989,1
Sports,366,60113,1
Seminars,1126,5449,1
Sports,476,5753,1
Cultural,1296,139306,1
Sports,599,46157,1
Seminars,693,156607,1
Cultural,1229,47554,1
Cultural,1311,69924,1
Cultural,527,77071,1
Cultural,1493,140301,1
Sports,1091,238424,1
Cultural,986,163679,1
Seminars,937,118046,1
Seminars,242,26145,1
Sports,408,80263,1
Seminars,1454,85506,1
Cultural,1369,14974,1
Sports,821,147846,1
Cultural,1490,18827,1
Sports,1022,227818,1
Seminars,681,61288,1
Sports,421,64140,1
Sports,755,82288,1
Cultural,1461,13919,1
Cultural,1309,36335,1
Sports,690,87467,1
Sports,1422,222348,1
Sports,903,65399,1
Cultural,426,85498,1
Seminars,158,22573,1
Cultural,268,50486,1
Seminars,896,194144,1
Seminars,715,62292,1
Seminars,529,104522,1
Seminars,480,12476,1
Cultural,1196,74177,1
Sports,283,15990,1
Seminars,238,33592,1
Seminars,955,69878,1
Seminars,1427,244349,1
Seminars,310,54403,1
Sports,364,86020,1
Cultural,1155,163267,1
Seminars,1202,193575,1
Seminars,643,101474,1
Cultural,187,33145,1
Sports,1397,93283,1
Seminars,532,10803,1
Cultural,426,64537,1
Seminars,1389,3124,1
Cultural,1394,198762,1
Cultural,1484,82207,1
Sports,1073,155313,1
Cultural,978,40185,1
Cultural,439,57261,1
Seminars,243,13062,1
Seminars,994,205667,1
Cultural,1269,194169,1
Seminars,139,32355,1
Seminars,1077,233873,1
Sports,894,26365,1
Seminars,1176,55481,1
Cultural,1155,151434,1
Seminars,150,13979,1
Seminars,1123,208039,1
Seminars,830,11885,1
Sports,524,29403,1
Sports,1035,13723,1
Sports,1350,155720,1
Cultural,833,32367,1
Cultural,274,18015,1
Sports,241,12941,1
Seminars,1389,226452,1
Seminars,955,105611,1
Cultural,600,128817,1
Seminars,1438,98311,1
Seminars,828,127846,1
Seminars,712,83790,1
Cultural,1251,82048,1
Cultural,1473,218039,1
Sports,940,107152,1
Sports,1165,30286,1
Sports,776,138537,1
Seminars,368,91878,1
Sports,1006,35730,1
Sports,716,5608,1
Seminars,428,4270,1
Seminars,282,67701,1
Sports,882,220177,1
Cultural,1191,175347,1
Seminars,132,10732,1
Sports,564,15474,1
Sports,381,13621,1
Seminars,1320,2223,1
Sports,775,180153,1
Cultural,906,208956,1
Cultural,889,99806,1
Sports,155,33185,1
Sports,1035,213272,1
Sports,421,26642,1
Cultural,860,147903,1
Cultural,277,8012,1
Sports,223,37221,1
Sports,663,75131,1
Sports,733,131690,1
Sports,389,33304,1
Sports,1042,67847,1
Seminars,833,132736,1
Cultural,570,89432,1
Cultural,567,24168,1
Sports,959,17676,1
Seminars,118,8500,1
Seminars,208,28812,1
Sports,1216,215993,1
Sports,171,32706,1
Sports,1222,21940,1
Sports,1489,184170,1
Cultural,186,12688,1
Cultural,813,74301,1
Sports,811,118149,1
Sports,291,17082,1
Seminars,491,95403,1
Seminars,1040,74308,1
Seminars,1003,115424,1
Sports,476,71428,1
Seminars,1236,26954,1
Cultural,396,88615,1
Cultural,925,84097,1
Seminars,124,2230,1
Sports,458,108505,1
Cultural,111,18391,1
Cultural,1126,196373,1
Cultural,760,99995,1
Cultural,506,64452,1
Sports,548,19167,1
Seminars,466,7979,1
Sports,681,154055,1
Seminars,1017,191665,1
Cultural,897,33620,1
Seminars,1039,211505,1
Seminars,992,152178,1
Cultural,1110,148714,1
Seminars,1033,82824,1
Seminars,872,214515,1
Cultural,508,29594,1
Seminars,546,110684,1
Cultural,1070,196401,1
Seminars,1027,219368,1
Cultural,804,182435,1
Seminars,1212,138632,1
Cultural,428,82941,1
Seminars,1190,152122,1
Cultural,775,121643,1
Sports,412,22168,1
Seminars,489,64784,1
Cultural,1361,173609,1
Sports,802,4184,1
Seminars,223,14990,1
Sports,505,5856,1
Sports,1128,29611,1
Sports,1388,129785,1
Seminars,868,122312,1
Cultural,622,129514,1
Seminars,1403,103453,1
Cultural,402,79567,1
Cultural,678,100044,1
Seminars,1413,55585,1
Sports,579,35437,1
Sports,554,68113,1
Cultural,1032,242093,1
Cultural,1271,119876,1
Seminars,328,9272,1
Sports,1259,128858,1
Sports,508,28149,1
Seminars,340,9781,1
Cultural,724,54373,1
Sports,282,49929,1
Sports,576,93548,1
Sports,856,210626,1
Cultural,144,26316,1
Seminars,986,197912,1
Seminars,931,182747,1
Cultural,997,134937,1
Seminars,608,124838,1
Sports,1453,117793,1
Sports,1399,93264,1
Seminars,1279,196097,1
Cultural,277,68225,1
Sports,953,79766,1
Sports,1339,79111,1
Cultural,129,29160,1
Seminars,1306,224517,1
Sports,360,73542,1
Sports,591,61940,1
Cultural,359,9959,1
Seminars,1189,190310,1
Sports,1402,80018,1
Seminars,665,115833,1
Sports,299,48875,1
Cultural,839,81637,1
Sports,764,177453,1
Sports,1052,10806,1
Seminars,229,56868,1
Seminars,578,78944,1
Sports,871,163082,1
Sports,511,106666,1
Seminars,1408,132762,1
Seminars,1402,50327,1
Sports,275,15491,1
Seminars,390,88260,1
Seminars,465,67906,1
Seminars,441,13136,1
Sports,736,139196,1
Seminars,1337,61631,1
Cultural,354,87911,1
Cultural,1071,233953,1
Cultural,947,44388,1
Cultural,1406,20561,1
Seminars,1047,57466,1
Sports,388,66241,1
Seminars,201,17560,1
Sports,799,83655,1
Seminars,732,76240,1
Seminars,280,11044,1
Seminars,667,152345,1
Seminars,179,40756,1
Sports,390,22971,1
Sports,419,32978,1
Sports,865,59006,1
Cultural,848,154679,1
Seminars,616,119286,1
Cultural,313,31263,1
Sports,189,9518,1
Cultural,939,14147,1
Seminars,392,16806,1
Seminars,1001,107505,1
Seminars,117,4407,1
Seminars,517,126665,1
Seminars,1486,155301,1
Sports,609,107056,1
Seminars,351,84400,1
Cultural,1398,238659,1
Cultural,1370,21863,1
Sports,680,68316,1
Sports,556,36908,1
Cultural,1381,189078,1
Seminars,215,22413,1
Seminars,537,101687,1
Sports,962,35844,1
Cultural,579,113990,1
Cultural,1087,215360,1
Sports,1317,31047,1
Cultural,1179,231628,1
Cultural,1236,150674,1
Sports,322,76108,1
Cultural,1342,81170,1
Sports,542,2689,1
Seminars,1478,142892,1
Sports,972,149631,1
Sports,702,114803,1
Sports,706,67720,1
Seminars,1249,199210,1
Seminars,857,126068,1
Sports,1198,223016,1
Cultural,466,59497,1
Sports,698,133672,1
Cultural,968,218016,1
Seminars,1448,181650,1
Seminars,106,7334,1
Cultural,1184,185183,1
Seminars,1148,72562,1
Seminars,472,5812,1
Seminars,258,60000,1
Seminars,916,220109,1
Seminars,212,2768,1
Seminars,1211,87101,1
Seminars,229,33816,1
Seminars,461,15250,1
Sports,850,4060,1
Sports,991,99052,1
Sports,1477,144449,1
Seminars,347,73896,1
Sports,306,5049,1
Seminars,1057,186329,1
Seminars,539,47130,1
Cultural,131,7099,1
Sports,654,126208,1
Cultural,654,139473,1
Cultural,528,72064,1
Seminars,803,36325,1
Sports,1204,28230,1
Sports,817,71977,1
Seminars,808,12590,1
Seminars,1401,158067,1
Cultural,366,79057,1
Sports,724,60611,1
Cultural,380,34938,1
Sports,1081,145632,1
Seminars,512,74665,1
Cultural,744,95447,1
Cultural,1105,25546,1
Sports,800,134270,1
Sports,962,95871,1
Cultural,1125,43699,1
Seminars,1188,243503,1
Sports,285,39712,1
Sports,869,201221,1
Seminars,167,29313,1
Sports,848,85023,1
